pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---other	4	14	5	4	1	1	0	1	0	0	0	1	0
home---education	9	10	1	3	3	1	0	0	0	1	0	1	2
home---leisure	64	16	13	1	7	3	5	4	4	5	8	1	15
home---other	14	5	7	5	10	7	5	8	6	2	1	4	38
home---pt interaction	0	0	0	0	0	0	1	1	0	0	0	0	0
home---shop	5	7	5	3	3	4	3	3	2	4	0	0	27
home---work	8	2	8	7	12	5	14	12	19	10	16	9	79
leisure---home	67	14	12	4	2	8	9	4	6	4	11	3	11
leisure---leisure	0	0	1	0	0	0	0	0	0	0	0	0	1
leisure---work	4	5	4	4	4	1	5	3	4	3	1	1	17
other---home	12	12	20	10	13	5	9	8	4	5	4	4	25
other---leisure	1	2	1	1	4	2	2	3	1	2	5	3	7
other---other	5	2	3	0	5	4	0	4	1	8	2	2	8
other---shop	0	5	1	2	1	1	2	2	1	1	2	0	4
other---work	1	0	0	0	1	0	0	0	0	0	2	1	2
pt interaction---home	0	0	0	0	0	0	1	1	0	0	0	0	0
pt interaction---pt interaction	1	0	0	1	0	0	0	1	0	1	0	0	2
pt interaction---work	2	0	0	0	0	0	0	0	0	0	0	0	0
shop---home	7	5	3	3	3	4	1	1	5	3	1	1	20
shop---leisure	0	1	0	1	1	0	3	1	1	0	0	0	1
shop---work	4	1	1	1	0	1	2	3	3	0	1	1	4
work---home	9	5	6	4	6	10	10	18	13	12	14	10	91
work---leisure	1	1	1	0	1	0	1	3	3	2	1	0	8
work---other	2	0	3	4	3	6	2	2	0	5	5	2	22
work---pt interaction	2	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 2999.2699859747545 seconds = 00:49:59
